study_id,title,doi,immune_type,journal,year,country,species_english,species_latin,fish_family,sex,age,exposure_id,assay_id,pharmaceutical,pharmaceutical_class,pharmaceutical_mechanism,dosage,dosage_unit,dosage_adm,duration,duration_unit,data_source,immune_trait,immune_trait_unit,immune_trait_category,immune_category_high,orientation,inflammation,immune_category,control_mean,control_sd,control_se,control_n,treatment_mean,treatment_sd,treatment_se,treatment_n
221_barros-becker_2012,Persistent Oxytetracycline Exposure Induces an Inflammatory Process That Improves Regenerative Capacity in Zebrafish Larvae,10.1371/journal.pone.0036827,baseline,PLOSOne,2012,chile,zebrafish,Danio rerio,Cyprinidae,not reported,larvae,221_barros-becker_2012_exp01,221_barros-becker_2012_exp01_assay01,oxytetracycline,antibiotic,tetracycline,750,ppm,waterborne,96,hours,221_Barros-Becker_2012_fig1b.jpg,neutrophils,total number,neutrophils,WBC,1,,cell-mediated response,3.16E+01,1.44E+00,1.86E-01,15,9.16E+01,1.62E+00,2.09E-01,15
221_barros-becker_2012,Persistent Oxytetracycline Exposure Induces an Inflammatory Process That Improves Regenerative Capacity in Zebrafish Larvae,10.1371/journal.pone.0036827,baseline,PLOSOne,2012,chile,zebrafish,Danio rerio,Cyprinidae,not reported,larvae,221_barros-becker_2012_exp01,221_barros-becker_2012_exp01_assay02,oxytetracycline,antibiotic,tetracycline,750,ppm,waterborne,96,hours,221_Barros-Becker_2012_fig4b.jpg,percentage of neutrophils per 100000 events,percentage per 100000 events,neutrophils,WBC,1,,cell-mediated response,5.51E-01,3.57E-02,4.61E-03,15,6.83E-01,2.49E-02,3.21E-03,15
634_Cuklev_2011,Diclofenac in fish: blood plasma levels similar to human therapeutic levels affect global hepatic gene expression,10.1002/etc.599,baseline,Environmental Toxicology and Chemistry,2011,sweden,rainbow trout,Oncorhynchus mykiss,Salmonidae,mixed,juvenile,634_Cuklev_2011_exp01,634_Cuklev_2011_exp01_assay01,diclofenac,anti-inflammatory,NSAID,1.6,ug/l,waterborne,14,days,634_Cuklev_2011_fig5.jpg,fold change log2 c7,fold change,complement system,humoral-mediated,1,,gene expression,1.02E-01,2.55E-01,5.21E-02,24,2.64E-01,1.45E-01,2.95E-02,24
634_Cuklev_2011,Diclofenac in fish: blood plasma levels similar to human therapeutic levels affect global hepatic gene expression,10.1002/etc.599,baseline,Environmental Toxicology and Chemistry,2011,sweden,rainbow trout,Oncorhynchus mykiss,Salmonidae,mixed,juvenile,634_Cuklev_2011_exp02,634_Cuklev_2011_exp02_assay01,diclofenac,anti-inflammatory,NSAID,11.5,ug/l,waterborne,14,days,634_Cuklev_2011_fig5.jpg,fold change log2 c7,fold change,complement system,humoral-mediated,1,,gene expression,3.40E-01,2.55E-01,5.21E-02,24,2.81E-01,1.28E-01,2.61E-02,24
634_Cuklev_2011,Diclofenac in fish: blood plasma levels similar to human therapeutic levels affect global hepatic gene expression,10.1002/etc.599,baseline,Environmental Toxicology and Chemistry,2011,sweden,rainbow trout,Oncorhynchus mykiss,Salmonidae,mixed,juvenile,634_Cuklev_2011_exp03,634_Cuklev_2011_exp03_assay01,diclofenac,anti-inflammatory,NSAID,81.5,ug/l,waterborne,14,days,634_Cuklev_2011_fig5.jpg,fold change log2 c7,fold change,complement system,humoral-mediated,1,,gene expression,1.18E+00,2.55E-01,5.21E-02,24,7.23E-01,1.36E-01,2.78E-02,24
921_Filby_2007,"Health impacts of estrogens in the environment, considering complex mixture effects",10.1289/ehp.10443,baseline,Environmental Health Perspectives,2007,united kingdom,fathead minnows,Pimephales promelas,Cyprinidae,mixed,adult,921_Filby_2007_exp01,921_Filby_2007_exp01_assay01,ee2,contraceptive,endocrine disruptor,10,ng/l,waterborne,21,days,921_Filby_2007_fig3.jpg,lymphocytes % in male,percentage,lymphocytes,WBC,1,,cell-mediated response,8.47E+01,6.49E+00,3.00E-01,12,8.46E+01,5.12E+00,1.48E+00,12
921_Filby_2007,"Health impacts of estrogens in the environment, considering complex mixture effects",10.1289/ehp.10443,baseline,Environmental Health Perspectives,2007,united kingdom,fathead minnows,Pimephales promelas,Cyprinidae,mixed,adult,921_Filby_2007_exp01,921_Filby_2007_exp01_assay02,ee2,contraceptive,endocrine disruptor,10,ng/l,waterborne,21,days,921_Filby_2007_fig3.jpg,lymphocytes % in female,percentage,lymphocytes,WBC,1,,cell-mediated response,8.71E+01,2.44E+00,7.03E-01,12,8.61E+01,3.25E+00,9.37E-01,12
1178_Han_2014,Detrimental effects of metronidazole on selected innate immunological indicators in common carp (Cyprinus carpio L.),10.1007/s00128-013-1173-6,baseline,Bulletin of Environmental Contamination and Toxicology,2014,china,common carp,Cyprinus carpio,Cyprinidae,not reported,not reported,1178_Han_2014_exp01,1178_Han_2014_exp01_assay01,metronidazole,antibiotic,antibiotic,0.1,mg/l,waterborne,30,days,1178_Han_2014_fig1a.jpg,lysozyme activity u/ml,u/ml,lysozyme,humoral-mediated,1,,protein,8.90E+01,9.95E+00,3.15E+00,10,8.31E+01,5.85E+00,1.85E+00,10
1178_Han_2014,Detrimental effects of metronidazole on selected innate immunological indicators in common carp (Cyprinus carpio L.),10.1007/s00128-013-1173-6,baseline,Bulletin of Environmental Contamination and Toxicology,2014,china,common carp,Cyprinus carpio,Cyprinidae,not reported,not reported,1178_Han_2014_exp02,1178_Han_2014_exp02_assay01,metronidazole,antibiotic,antibiotic,0.5,mg/l,waterborne,30,days,1178_Han_2014_fig1a.jpg,lysozyme activity u/ml,u/ml,lysozyme,humoral-mediated,1,,protein,8.90E+01,9.95E+00,3.15E+00,10,7.49E+01,5.85E+00,1.85E+00,10
1178_Han_2014,Detrimental effects of metronidazole on selected innate immunological indicators in common carp (Cyprinus carpio L.),10.1007/s00128-013-1173-6,baseline,Bulletin of Environmental Contamination and Toxicology,2014,china,common carp,Cyprinus carpio,Cyprinidae,not reported,not reported,1178_Han_2014_exp03,1178_Han_2014_exp03_assay01,metronidazole,antibiotic,antibiotic,2.5,mg/l,waterborne,30,days,1178_Han_2014_fig1a.jpg,lysozyme activity u/ml,u/ml,lysozyme,humoral-mediated,1,,protein,8.90E+01,9.95E+00,3.15E+00,10,6.56E+01,3.51E+00,1.11E+00,10
1178_Han_2014,Detrimental effects of metronidazole on selected innate immunological indicators in common carp (Cyprinus carpio L.),10.1007/s00128-013-1173-6,baseline,Bulletin of Environmental Contamination and Toxicology,2014,china,common carp,Cyprinus carpio,Cyprinidae,not reported,not reported,1178_Han_2014_exp01,1178_Han_2014_exp01_assay03,metronidazole,antibiotic,antibiotic,0.1,mg/l,waterborne,30,days,1178_Han_2014_fig1c.jpg,bactericidal capacity - number of bacteria colonies,number of bacteria colonies,bactericidal capacity,humoral-mediated,-1,,cell-mediated response,3.56E+01,7.13E+00,2.25E+00,10,5.15E+01,1.03E+01,3.26E+00,10
1178_Han_2014,Detrimental effects of metronidazole on selected innate immunological indicators in common carp (Cyprinus carpio L.),10.1007/s00128-013-1173-6,baseline,Bulletin of Environmental Contamination and Toxicology,2014,china,common carp,Cyprinus carpio,Cyprinidae,not reported,not reported,1178_Han_2014_exp02,1178_Han_2014_exp02_assay03,metronidazole,antibiotic,antibiotic,0.5,mg/l,waterborne,30,days,1178_Han_2014_fig1c.jpg,bactericidal capacity - number of bacteria colonies,number of bacteria colonies,bactericidal capacity,humoral-mediated,-1,,cell-mediated response,3.56E+01,7.13E+00,2.25E+00,10,7.92E+01,1.11E+01,3.51E+00,10
